Time,U0,U1,U2,U3,L0,L1,L2,L3,L4,U2L2,U0L1,U0L2,U0L4,U1L3,U1L1,U2L1,U2L3,U3L1,U3L2
0.295,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.29519999999999996,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.29539999999999994,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.2956,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.29579999999999995,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.2960000000000001,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.0,643.1,1204.7,842.3,0.0,51.3,387.2,361.3
0.29619999999999996,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.0,643.1,1204.7,842.3,0.0,51.3,387.2,361.3
0.29640000000000005,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.0,643.1,1204.7,842.3,0.0,51.3,387.2,361.3
0.2966000000000001,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.0,643.1,1204.7,842.3,0.0,51.3,387.2,361.3
0.29680000000000006,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.0,643.1,1204.7,842.3,0.0,51.3,387.2,361.3
0.2970000000000001,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.0,643.1,1204.7,842.3,0.0,51.3,387.2,361.3
0.2972000000000001,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.0,643.1,1204.7,842.3,0.0,51.3,387.2,361.3
0.29740000000000005,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.0,643.1,1204.7,842.3,0.0,51.3,387.2,361.3
0.29760000000000003,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.0,643.1,1204.7,842.3,0.0,51.3,387.2,361.3
0.2978,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.0,643.1,1204.7,842.3,0.0,51.3,387.2,361.3
0.29800000000000004,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.0,643.1,1204.7,842.3,0.0,51.3,387.2,361.3
0.2982,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.0,643.1,1204.7,842.3,0.0,51.3,387.2,361.3
0.2984,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.0,643.1,1204.7,842.3,0.0,51.3,387.2,361.3
0.29860000000000003,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.0,643.1,1204.7,842.3,0.0,51.3,387.2,361.3
0.2988,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.0,643.1,1204.7,842.3,0.0,51.3,387.2,361.3
0.299,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.0,643.1,1204.7,842.3,0.0,51.3,387.2,361.3
0.29919999999999997,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.1,643.1,1204.7,842.3,0.0,51.3,387.2,361.2
0.29939999999999994,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.1,643.1,1204.7,842.3,0.0,51.3,387.2,361.2
0.2996,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.1,643.1,1204.7,842.3,0.0,51.3,387.2,361.2
0.29979999999999996,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.1,643.1,1204.7,842.3,0.0,51.3,387.2,361.2
0.3,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.1,643.1,1204.7,842.3,0.0,51.3,387.2,361.2
0.3002000000000001,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.1,643.1,1204.7,842.3,0.0,51.3,387.2,361.2
